id,name,complexity,bonus,task,solution,cost,rating,page_id,solution_cost,priority,company_id,is_visible,is_private,recommendation
105,ООП: Кастомный класс целых чисел,1,5,"<p>Создайте класс <code>MyInt</code>, который будет наследоваться от стандартных целых чисел Python. Единственное отличие этого класса должно заключаться в том, что при вызове функции <code>print</code> будет выводиться не просто значение числа, а строка: </p><pre>Значение: N</pre><p>где N - значение числа. </p><p><strong>Пример:</strong></p>
<pre>a = MyInt(5)
print(a)
# Значение: 5</pre>","<p>Задачи на изменение поведения базовых структур данных - классический способ проверить знание концепции наследования, а также «начинки» основных типов данных. В подавляющем большинстве случаев такие задачи заключаются в переопределении магических методов, которые отвечают за арифмитические операции, операции сравнения и работу стандартных функций. </p><p>В данной задаче нам необходимо создать класс <code>MyInt</code> - наследник обычных целых чисел <code>Int</code> и изменить поведение встроенной функции <code>print</code>. Результат <code>print</code> зависит от того, как внутри класса определен метод <code>__str__</code>. Соответственно, его мы и будем переопределять: </p><pre># MyInt наследуется от Int
class MyInt(int):
    # Переопределяем __str__ для MyInt
    def __str__(self):</pre><p>По условию задачи, мы должны получать строку <code>Значение: N</code>, где <code>N</code> - значение числа. В Python получить значение объекта-числа внутри класса можно с помощью метода <code>__int__</code>, т.е.: </p><pre>self.__int__()</pre><p>вернет численное значение данного объекта. </p><p>Таким образом, нам остается добавить нужную строку в <code>return</code> метода <code>__str__</code> и получить ответ:</p><pre>class MyInt(int):
    def __str__(self):
        return f&#39;Значение: {self.__int__()}&#39;</pre>",20,95.0,155,0,901.0,,True,False,
106,Декоратор для контроля уникальности аргументов,2,10,"<p>Напишите декоратор <code>RepeatDecorator</code>, который проверяет, запускалась ли ранее обернутая функция с заданными позиционными аргументами. Если такие аргументы уже подавались на вход данной функции, то нужно вывести на экран сообщение: <strong>«Функция с такими аргументами уже запускалась!»</strong>. </p>
<p><strong>Примечание:</strong> Если одна функция запускалась с заданными аргументами, а потом другая запускается с теми же аргументами, то декоратор не должен выводить сообщение. </p>
<p><strong>Пример</strong></p>
<pre>func1(1, 2)
&gt; Ничего не выводится
func1(2, 1)
&gt; Ничего не выводится
func1(3, 1)
&gt; Ничего не выводится
func1(1, 2)
# Функция с такими аргументами уже запускалась!

func2(1, 2)
&gt; Ничего не выводится, т.к. функция другая
func2(1, 2)
# Функция с такими аргументами уже запускалась!</pre>","<inject-highlight>class Answer:
  def RepeatDecorator(self, func=None):
          store = set()
          def wrapper(*args):
              if args in store:
                  print('Функция с такими аргументами уже запускалась!')
              else:
                  store.add(args)
          return wrapper
</inject-highlight>",0,96.0,157,0,890.0,,True,False,
107,Декоратор для замера времени,2,10,"<p>Напишите декоратор <code>TimeDecorator</code>, который будет замерять время выполнения декорированной функции. Исходная функция должна возвращать результат, а декоратор должен просто выводить строку <code>&quot;Затрачено N секунд&quot;</code> на экран. </p><p><strong>Пример:</strong></p>
<pre>def func(...):
  ... 
  print(&#39;Я закончила работать!&#39;)

func()
# Затрачено 0.5 секунд
# Я закончила работать!</pre>","<inject-highlight>from time import time
class Answer:
  def TimeDecorator(self, func):
      def wrapper(*args, **kwargs):
          start = time()
          res = func(*args, **kwargs)
          print(f'Затрачено {time() - start} секунд')
          return res
      return wrapper</inject-highlight>",30,89.0,158,0,900.0,,True,False,
108,Декоратор для предотвращения ошибок,2,10,"<p>Создать декоратор <code>SedativeDecorator</code>, который будет запускать задекорированную функцию и выполнять одно из действий: </p><ul><li>Если функция выполнилась без ошибок, то возвращать строку <code>&quot;Все ок&quot;</code></li><li>Если во время выполнения фукнции возникла ошибка, то возвращать строковое представление ошибки</li></ul><p><strong>Пример:</strong></p>
<pre>&gt; Функция отрабатывает нормально
func(1)
# Все ок

&gt; Функция должна кинуть ValueError
func(2)
# &#39;ValueError&#39;</pre>","<inject-highlight>class Answer:
    def SedativeDecorator(self, func):
        def wrapper(*args, **kwargs):
            try:
                func(*args, **kwargs)
                return 'Все ок'
            except Exception as exc:
                return repr(exc)
        return wrapper</inject-highlight>",30,94.0,159,0,900.0,,True,False,
109,ООП: Задача о сложении людей,1,5,"<p>Задайте класс <code>Person</code> следующим образом:</p><ul><li>при создании конструктор должен принимать на вход имя и записывать его в атрибут <code>name</code></li><li>операция сложения («+») должна быть реализована таким образом, чтобы результатом была строка вида <code>&lt;name&gt; и &lt;добавляемое значение&gt;</code></li></ul><p><strong>Пример:</strong></p>
<pre>me = Person(&#39;IT Resume&#39;)
print(me.name)
# IT Resume

print(me + &#39;Вы&#39;)
# IT Resume и Вы
</pre>
","<p>Это еще одна типичная задача для проверки понимания, что находится у структур данных «под капотом», т.е. как работают магические методы в Python. </p><p>Итак, давайте разберем по пунктам. </p><p>Во-первых, необходимо определить конструктор класса таким образом, чтобы он принимал на вход аргумент <code>name</code> и записывал его в атрибут экземпляра класса. </p><p><strong>Примечание:</strong> Конструктор в Python определяется с помощью метода <code>__init__</code>. </p>
<p><strong>Примечание:</strong> Атрибут экземпляра класса имеет отношение к конкретному экземпляру, а не к классу в целом, поэтому определяются такие атрибуты внутри методов. </p>
<p>Получается, конструктор класса будет определяться так:</p><pre>class Person:
    def __init__(self, name):
        self.name = name</pre><p>Теперь мы переходим к основной части задания - изменить поведение арифметического оператора сложения. Все арифмитические операции, как и работа основных функций, определяется внутри класса с помощью магических методов. В частности, операция сложения определяется с помощью метода <code>__add__</code>. Тогда получается, что все, что нам необходимо - определить метод <code>__add__</code>: </p><pre>def __add__(self, value):
    return f&#39;{self.name} и {value}&#39;</pre><p>Таким образом, итоговый класс будет выглядеть так:</p><pre>class Person:
    def __init__(self, name):
        self.name = name
    def __add__(self, value):
        return f&#39;{self.name} и {value}&#39;</pre>",20,95.0,156,0,890.0,,True,False,
110,Pandas: Динамика продаж,1,5,"<p>Дан датафрейм Pandas, состоящий из 1 столбца - <code>sales</code>. В нем содержатся продажи за некоторый период времени: отдельная строка - отдельный период времени. </p><p>Необходимо в исходный датафрейм добавить 2 столбца: </p><ul><li><code>prev_sales</code> - продажи за предыдущий период</li><li><code>inc</code> - рост продаж по сравнению с предыдущим периодом</li></ul><p>Данное преобразование необходимо совершать с помощью функции <code>evalInc</code>. На вход подается исходный датафрейм, функция должна возвращать преобразованный датафрейм. </p><p><strong>Примечание:</strong> Значения в столбце <code>inc</code> должны быть выражены в % (т.е. не <code>0.01</code>, а <code>1</code>) и округлены до 2 знаков после запятой.</p>
<p><strong>Примечание:</strong> Если для данной записи нет предыдущего значения, то <code>prev_sales</code> должно быть <code>NaN</code>. </p>","<p>В аналитике данных стандартная задача - создать новый столбец, полученный сдвигом значений в другом столбце на шаг <code>N</code>. В библиотеке <code>Pandas</code> такая задача решается с помощью функции <code>shift</code>, которая принимает в качестве аргумента шаг сдвига.</p><p>Чтобы добавить еще один столбец с рассчитанным приростом продаж, необходимо воспользоваться формулой: </p><p><code>(текущие продажи  - предыдущие продажи)/предыдущие продажи</code></p><p>Это позволит узнать, как изменились продажи в текущем периоде относительно предыдущего периода. </p><p>Таким образом, итоговое решение можно записать так:</p><pre>import pandas as pd

class Answer:
    def evalInc(self, df):
        df[&#39;prev_sales&#39;] = df.shift(1)
        df[&#39;inc&#39;] = round((df[&#39;sales&#39;]-df[&#39;prev_sales&#39;])/df[&#39;prev_sales&#39;]*100, 2)
        return df</pre>
",20,97.0,165,0,890.0,,True,False,
111,Pandas: Рассчитать среднее время пребывания,1,5,"<p>Дано 3 датафрейма: <code>df1</code>, <code>df2</code>, и <code>df3</code>, состоящие из 3 полей: </p><pre>+-----------+-----------+-----------+
|   page1   |   page2   |   page3   |
+-----------+-----------+-----------+</pre><p>Каждая строка датафрейма - информация о времени, которое пользователь провел на той или иной странице сайта.</p><ul><li><code>page1</code> - общая страница с тестами</li><li><code>page2</code> - страница с вопросами</li><li><code>page3</code> - страница с ответами</li></ul><p>Каждый из датафреймов содержит полностью идентичные названия и типы столбцов - просто в каждом из них содержится информация за разный промежуток времени. </p><p>Вам необходимо: </p><ul><li>Объединить все датафреймы в один</li><li>Удалить строки, где есть хотя бы один пропуск</li><li>Добавить строку <code>Mean</code> в конец датафрейма, в которой будет рассчитано среднее значение по каждому из столбцов</li></ul><p>На выходе функции должен возвращаться итоговый датафрейм.</p><p>Другими словами, бизнес-задача формулируется так: найти среднее время пребывания на каждой из страниц только для тех пользователей, которые прошли тест до конца. </p><p><strong>Примечание:</strong> Тест считается пройденным до конца только в том случае, если пользователь попал на страницу с ответами. При другом раскладе пользователь попасть на эту страницу не может. </p>","<p>Первым делом необходимо объединить исходные датафреймы в один. Это можно сделать с помощью функции <code>pd.concat</code>. </p><p>Т.к. наши наборы данных уже являются датафреймами Pandas, нам будет достаточно воспользоваться функцией <code>pd.concat</code>,  которая принимает набор объектов вида <code>Series</code> или <code>Dataframe</code>. В нашем случае, мы подаем на вход список из датафремов. </p><p>Далее, чтобы удалить строки с пропусками, можно воспользоваться функцией <code>dropna</code>. По умолчанию удаляются строки, в которых есть хотя бы один пропуск (<code>how=&quot;any&quot;</code>). Если нужно удалить только те строки, где все значения пропущены, то указываем аргумент (<code>how=&quot;all&quot;</code>).</p><p>На последнем шаге нам нужно создать в конце датафрейма строку, в которой будут содержаться средние значения по каждой странице. Создать новую строку можно с помощью функции <code>loc</code>, которая оперирует строками и столбцами по названию. Рассчитать же среднее значение можно с помощью функции <code>mean</code>. </p><pre>import pandas as pd

# df1 = [
#     {&#39;page1&#39;: 1, &#39;page2&#39;: 25, &#39;page3&#39;: 3}, 
#     {&#39;page1&#39;: 4, &#39;page2&#39;: 58, &#39;page3&#39;: 1}, 
#     {&#39;page1&#39;: 1.5, &#39;page2&#39;: 8, &#39;page3&#39;: 0.5}
#     ]

# df2 = [
#      {&#39;page1&#39;: 2, &#39;page2&#39;: 11, &#39;page3&#39;: None}, 
#      {&#39;page1&#39;: 5, &#39;page2&#39;: 21, &#39;page3&#39;: 5}, 
#      {&#39;page1&#39;: 0.1, &#39;page2&#39;: 38, &#39;page3&#39;: 15}
#      ]

# df3 = [
#      {&#39;page1&#39;: 2, &#39;page2&#39;: 11, &#39;page3&#39;: 40}, 
#      {&#39;page1&#39;: 5, &#39;page2&#39;: 15, &#39;page3&#39;: None}, 
#      {&#39;page1&#39;: 4, &#39;page2&#39;: 21, &#39;page3&#39;: 13}
#      ]

# df1, df2, df3 = [pd.DataFrame(df) for df in [df1, df2, df3]]

class Answer:
    def calcMean(self, df1, df2, df3):
        df = pd.concat([df1, df2, df3])
        df = df.dropna()
        df.loc[&#39;Mean&#39;] = df.mean()

        return df</pre>",0,89.0,167,0,900.0,,True,False,
112,Pandas: Объединить датафреймы по ключу,1,5,"<p>Дано 2 Pandas-датафрема. Датафрейм <code>sales</code>:</p><pre>+-------------+--------------+-------------+
|  ProductID  |    Amount    |     Sum     |
+-------------+--------------+-------------+</pre><p>Датафрейм <code>Products</code>:</p><pre>+-------------+------------------+
|  ProductID  |    ProductName   |
+-------------+------------------+</pre><p>Реализуйте аналог Excel-функции <code>VLOOKUP</code> (или <code>ВПР</code>): необходимо написать функцию <code>vlookup</code>, которая принимает на вход 2 исходных датафрейма, а возвращает новый датафрейм вида: </p><pre>+-------------+--------------+-------------+-------------+
|  ProductID  |    Amount    |     Sum     | ProductName |
+-------------+--------------+-------------+-------------+</pre><p>Естественно, поле <code>ProductID</code> является ключом в двух таблицах. </p><p><strong>Важно:</strong> Если в таблице <code>sales</code> есть запись с каким-то <code>ProductID</code>, но в таблице <code>Products</code> такого <code>ProductID</code> нет, то в итоговом датафрейме эта строка должна фигурировать, но в столбце <code>ProductName</code> должно быть <code>NaN</code>.</p>","<p>Объединение двух таблиц по ключу - стандартная задача в дата-аналитике. И если в Excel такая задача решается с помощью функции <code>VLOOKUP</code>, то в Pandas это можно сделать с помощью функции <code>merge</code>. </p><p><em>Примечание:</em> Функция <code>merge</code>, как и <code>VLOOKUP</code> - аналоги различных <code>JOIN</code> в языке SQL. </p><p>Аргументы функции <code>merge</code>: </p><ul><li>Левая таблица</li><li>Правая таблица</li><li>В аргумент <code>on</code> передаем название ключа, по которому идет объединение.</li></ul><p><strong>Важно:</strong> Название столбца, которое передается в аргумент <code>on</code> должно быть одинаковым в обоих таблицах. Если это не так, то нужно воспользоваться <code>left_on</code> и <code>right_on</code>. </p>
<p>Интересным моментом в данной задаче также является условие, что все строки «левой» таблицы <code>sales</code> должны присутствовать в итоговом датафрейме, вне зависимости от наличия соответствующего <code>ProductID</code> в таблице <code>Products</code>. Такой вид соединения называется левым и в Pandas достигается с помощью аргумента <code>how=&#39;left&#39;</code>. </p><pre>import pandas as pd

# sales = [
#     {&#39;ProductID&#39;: 1, &#39;Amount&#39;: 5, &#39;Sum&#39;: 528},
#     {&#39;ProductID&#39;: 2, &#39;Amount&#39;: 2, &#39;Sum&#39;: 624}, 
#     {&#39;ProductID&#39;: 2, &#39;Amount&#39;: 1, &#39;Sum&#39;: 312}, 
#     {&#39;ProductID&#39;: 3, &#39;Amount&#39;: 1, &#39;Sum&#39;: 10}, 
#     {&#39;ProductID&#39;: 4, &#39;Amount&#39;: 8, &#39;Sum&#39;: 10842}, 
#     {&#39;ProductID&#39;: 4, &#39;Amount&#39;: 3, &#39;Sum&#39;: 4065}, 
#     {&#39;ProductID&#39;: 5, &#39;Amount&#39;: 1, &#39;Sum&#39;: 1024}
# ]


# products = [
#     {&#39;ProductID&#39;: 1, &#39;ProductName&#39;: &#39;Apple&#39;},
#     {&#39;ProductID&#39;: 2, &#39;ProductName&#39;: &#39;Mango&#39;}, 
#     {&#39;ProductID&#39;: 3, &#39;ProductName&#39;: &#39;Banana&#39;}, 
#     {&#39;ProductID&#39;: 4, &#39;ProductName&#39;: &#39;Orange&#39;}
# ]

# sales, products = pd.DataFrame(sales), pd.DataFrame(products)


class Answer:
    def vlookup(self, sales, products):
        df = pd.merge(sales, products, how=&quot;left&quot;, on=&#39;ProductID&#39;)
        return df</pre>",20,98.0,168,0,900.0,,True,False,
113,Pandas: Агрегирование продаж и возвратов,1,5,"<p>Дан датафрейм Pandas <code>Sales</code>, в котором хранятся продажи и возвраты:</p><pre>+------------+--------------+--------------+-----------+
|    Shop    |   Employee   |     Type     |    Sum    |
+------------+--------------+--------------+-----------+</pre><p>Описание полей: </p><ul><li>Shop - название магазина</li><li>Employee - имя сотрудника</li><li>Type - тип транзакции (продажа - 1, возврат - 2)</li><li>Sum - сумма транзакции</li></ul><p>Руководитель просит подбить итоги в разрезе каждого сотрудника в каждом отдельном магазине: </p><ul><li>Сколько возвратов и сколько продаж было? </li><li>Какая сумма продаж и возвратов?</li><li>Какая средняя сумма продажи и возврата?</li></ul><p>Результат необходимо оформить в виде датафрейма следующего вида: </p><pre>+------------+--------------+--------------+--------------+-----------+---------------+
|    Shop    |   Employee   |     Type     |    Amount    |    Sum    |      Avg      |
+------------+--------------+--------------+--------------+-----------+---------------+</pre><p><strong>Примечание:</strong> После всех преобразований все поля (<code>Shop, Employee, Type, Amount, Sum, Avg</code>) должны быть столбцами итогового датафрейма <code>df</code>. Другими словами, например, конструкция <code>df[&#39;Shop&#39;]</code> не должна выдавать ошибку. </p>","<p>Группировка и расчет агрегированных характеристик - типичная бизнес-задача (да и не только бизнес). </p><p>В Pandas группировка делается с помощью функции <code>groupby</code>, которая принимает в качестве аргумента список с названиями столбцов для группировки. То есть в нашем случае это будет выглядеть так: </p><inject-highlight>df.groupby(['Shop', 'Employee', 'Type'])
</inject-highlight><p>После группировки нам необходимо провести расчет аргрегированных характеристик: сумму, количество и среднее значение элементов в каждой группе. В Pandas это можно сделать с помощью функции <code>agg</code>. Эта функция обычно принимает в качестве аргумента словарь следующего вида: </p><inject-highlight>agg(
    {
        'column_name': 'function_to_apply',
        'column_name': 'function_to_apply', 
        ... 
    }
)
</inject-highlight><p>Если же мы хотим применить сразу несколько функций к одному столбцу, то можно написать еще проще, передав все необходимые функции списком: </p><inject-highlight>agg(
    {
        'column_name': ['function_to_apply1', 'function_to_appl2', 'function_to_apply3'],       
        ... 
    }
)
</inject-highlight><p>Также можно использовать эту функцию с лямбда-функциями: </p><inject-highlight>agg(
    {
        'column_name': lambda x: max(x) - 1,       
        ... 
    }
)
</inject-highlight><p>Однако, все эти варианты нам не подходят, т.к. нам нужно задавать собственные имена столбцов. Для этого, начиная с Pandas 0.25.0 существует именованная агрегация, основанная на кортежах: </p><inject-highlight>agg(
    name = ('column_name', 'function_to_apply'),
    name = ('column_name', 'function_to_apply'),
    ...
)
</inject-highlight><p>Вот этим вариантом мы и воспользуемся: </p><inject-highlight>df = df.groupby(['Shop', 'Employee', 'Type']).agg(
            Amount = ('Sum', 'count'),
            Sum = ('Sum', sum), 
            Avg = ('Sum', 'mean')
        )
</inject-highlight><p>Однако, остался еще один пункт задания. Если мы попробуем прогнать код <code>df['Shop']</code>, то мы получим ошибку <code>KeyError: 'Shop'</code>. Это происходит потому что после группировки столбцы датафрейма теперь называются <code>index</code>. Чтобы вернуться к привычным столбцам, достаточно использовать функцию <code>reset_index()</code>. </p><p>Таким образом, итоговое решение будет выглядет так:</p><inject-highlight>import pandas as pd

l = [
    {'Shop': ""Yakimanka"", 'Employee': ""Anna"", 'Type': 1, 'Sum': 528},
    {'Shop': ""Yakimanka"", 'Employee': ""Fedor"", 'Type': 2, 'Sum': 632},
    {'Shop': ""Butovo"", 'Employee': ""Peter"", 'Type': 1, 'Sum': 115},
    {'Shop': ""Yakimanka"", 'Employee': ""Anna"", 'Type': 1, 'Sum': 1024},
    {'Shop': ""Butovo"", 'Employee': ""Peter"", 'Type': 1, 'Sum': 1754},
    {'Shop': ""Butovo"", 'Employee': ""Peter"", 'Type': 1, 'Sum': 111},
    {'Shop': ""Kamenka"", 'Employee': ""Max"", 'Type': 1, 'Sum': 499},
    {'Shop': ""Kamenka"", 'Employee': ""Max"", 'Type': 2, 'Sum': 23},
    {'Shop': ""Butovo"", 'Employee': ""Jugen"", 'Type': 1, 'Sum': 214},
    {'Shop': ""Kamenka"", 'Employee': ""Max"", 'Type': 1, 'Sum': 964},
    {'Shop': ""Yakimanka"", 'Employee': ""Fedor"", 'Type': 2, 'Sum': 100},
    {'Shop': ""Butovo"", 'Employee': ""Jugen"", 'Type': 1, 'Sum': 10000}
]

df = pd.DataFrame(l)

class Answer:
    def grouping(self, df):
        df = df.groupby(['Shop', 'Employee', 'Type']).agg(
            Amount = ('Sum', 'count'),
            Sum = ('Sum', sum), 
            Avg = ('Sum', 'mean')
        ).reset_index()

        return df
</inject-highlight>",20,91.0,170,0,900.0,,True,False,
120,SQL. ДЗ 1. Начало телефонного номера,1,0,"<h2>Дано</h2><p>Дана таблица <strong>sales_man</strong>:</p><inject-highlight>+----------+-------+------------+---------+---------+-----------+
|  id_man  |  fio  |  birthday  |  phone  |  email  |  boss_id  |
+----------+-------+------------+---------+---------+-----------+</inject-highlight><p>Описание полей: </p><p>- <code>id_man</code> - идентификатор сотрудника</p><p>- <code>fio</code> - фамилия, имя и отчество сотрудника</p><p>- <code>birthday</code> - дата рождения сотрудника</p><p>- <code>phone</code> - телефон </p><p>- <code>email</code> - почтовый адрес</p><p>- <code>boss_id</code> - идентификатор начальника</p><h2>Задание</h2><p>Вывести сотрудников из таблицы <code>sales_man</code>, чей телефон начинается на <code>896</code>. </p><p> </p><p>Ответ должен содержать 2 поля – <code>fio</code> и <code>phone</code>.</p>
","<inject-highlight>SELECT fio, phone 
FROM sales_man s  
WHERE s.phone LIKE '896%' </inject-highlight>",0,94.0,177,0,2000.0,,True,True,
114,"Найти округа, в которых не было покупок",1,5,"<p>Дана таблица заказов <strong>C_ORDERS</strong>: </p>
<pre>+---------------------------+
|          C_ORDERS         |
+---------------------------+
|  PK  |      ID_ORDERS     |
+---------------------------+
|      |      DATE_ORDER    |
|      |      ID_CUSTOMER   |
|      |      PRICE         |
|      |      DATE_DELIVERY |
|      |      DATE_PAYMENT  |
|      |      INSTRUCTION   |
|      |      WEIGHT        |
+---------------------------+</pre><p>Дана таблица с деталями заказов <strong>ORDER_DETAILS</strong>:</p>
<pre>+---------------------------+
|       ORDER_DETAILS       |
+---------------------------+
|  PK  |  ID_ORDER_DETAILS  |
+---------------------------+
|      |  TOTAL_PRICE       |
|      |  ID_ORDERS         |
|      |  ID_PRODUCT        |
|      |  KEY_PRODUCER      |
|      |  QUANTITY          |
+---------------------------+</pre><p>Таблицы <code>ORDER_DETAILS</code> и <code>C_ORDERS</code> связаны по полю <code>ID_ORDERS</code>.</p><p>Дана таблица магазина <strong>STORE</strong>:</p>
<pre>+---------------------------+
|           STORE           |
+---------------------------+
|  PK  |     ID_PRODUCT     |
+---------------------------+
|      |     UNIT_PRICE     |
|      |     KEY_PRODUCER   |
|      |     UNITS          |
|      |     DESCR          |
|      |     NOTE           |
+---------------------------+</pre><p>Таблицы <code>ORDER_DETAILS</code> и <code>STORE</code> связаны по полю <code>ID_PRODUCT</code>.</p><p>Дана таблица производителей <strong>PRODUCER</strong>:</p>
<pre>+---------------------------+
|           PRODUCER        |
+---------------------------+
|  PK  |    KEY_PRODUCER    |
+---------------------------+
|      |    NAME_PRODUCER   |
+---------------------------+</pre><p>Таблицы <code>STORE</code> и <code>PRODUCER</code> связаны по полю <code>KEY_PRODUCER</code>.</p><p>Дана таблица покупателей <strong>CUSTOMER</strong>:</p>
<pre>+---------------------------+
|          CUSTOMER         |
+---------------------------+
|  PK  |    ID_CUSTOMER     |
+---------------------------+
|      |    ADDRESS_1       |
|      |    ADDRESS_2       |
|      |    COMAPNY         |
|      |    FIRST_NAME      |
|      |    COUNTY_CODE     |
|      |    TOWN            |
|      |    LAST_NAME       |
|      |    POSTCODE        |
|      |    TELEPHONE       |
+---------------------------+</pre><p>Таблицы <code>C_ORDERS</code> и <code>CUSTOMER</code> связаны по полю <code>ID_CUSTOMER</code>.</p><p>Дана таблица округов <strong>COUNTY</strong>:</p>
<pre>+---------------------------+
|           COUNTY          |
+---------------------------+
|  PK  |    COUNTY_CODE     |
+---------------------------+
|      |    NAME            |
+---------------------------+</pre><p>Таблицы <code>CUSTOMER</code> и <code>COUNTY</code> связаны по полю <code>COUNTY_CODE</code>.</p><p>Необходимо найти названия всех округов, жители которых никогда не совершали покупки в этом магазине. </p>","<p>Можно решить эту задачу от обратного - сначала найти все <code>county_code</code> для тех округов, в которых жители совершали покупки в этом магазине. Затем отобрать имена округов (<code>county.name</code>) только для тех округов, чьих кодов нет в результате предыдущего шага. Сделать это можнно с помощью подзапроса и <code>NOT IN</code>: </p><inject-highlight>SELECT name FROM county WHERE county_code NOT IN (
	SELECT coun.county_code FROM county coun
	JOIN customer cus ON coun.county_code=cus.county_code
	JOIN c_orders ord ON cus.id_customer=ord.id_customer
	JOIN order_details orddet ON ord.id_orders=orddet.id_orders
	JOIN store st ON orddet.id_product=st.id_product
)
</inject-highlight>",20,93.0,171,0,890.0,,True,False,
115,Снизить цену для отмеченных товаров,1,5,"<p>Дана таблица заказов <strong>C_ORDERS</strong>: </p>
<pre>+---------------------------+
|          C_ORDERS         |
+---------------------------+
|  PK  |      ID_ORDERS     |
+---------------------------+
|      |      DATE_ORDER    |
|      |      ID_CUSTOMER   |
|      |      PRICE         |
|      |      DATE_DELIVERY |
|      |      DATE_PAYMENT  |
|      |      INSTRUCTION   |
|      |      WEIGHT        |
+---------------------------+</pre><p>Дана таблица с деталями заказов <strong>ORDER_DETAILS</strong>:</p>
<pre>+---------------------------+
|       ORDER_DETAILS       |
+---------------------------+
|  PK  |  ID_ORDER_DETAILS  |
+---------------------------+
|      |  TOTAL_PRICE       |
|      |  ID_ORDERS         |
|      |  ID_PRODUCT        |
|      |  KEY_PRODUCER      |
|      |  QUANTITY          |
+---------------------------+</pre><p>Таблицы <code>ORDER_DETAILS</code> и <code>C_ORDERS</code> связаны по полю <code>ID_ORDERS</code>.</p><p>Дана таблица магазина <strong>STORE</strong>:</p>
<pre>+---------------------------+
|           STORE           |
+---------------------------+
|  PK  |     ID_PRODUCT     |
+---------------------------+
|      |     UNIT_PRICE     |
|      |     KEY_PRODUCER   |
|      |     UNITS          |
|      |     DESCR          |
|      |     NOTE           |
+---------------------------+</pre><p>Таблицы <code>ORDER_DETAILS</code> и <code>STORE</code> связаны по полю <code>ID_PRODUCT</code>.</p><p>Дана таблица производителей <strong>PRODUCER</strong>:</p>
<pre>+---------------------------+
|           PRODUCER        |
+---------------------------+
|  PK  |    KEY_PRODUCER    |
+---------------------------+
|      |    NAME_PRODUCER   |
+---------------------------+</pre><p>Таблицы <code>STORE</code> и <code>PRODUCER</code> связаны по полю <code>KEY_PRODUCER</code>.</p><p>Дана таблица покупателей <strong>CUSTOMER</strong>:</p>
<pre>+---------------------------+
|          CUSTOMER         |
+---------------------------+
|  PK  |    ID_CUSTOMER     |
+---------------------------+
|      |    ADDRESS_1       |
|      |    ADDRESS_2       |
|      |    COMAPNY         |
|      |    FIRST_NAME      |
|      |    COUNTY_CODE     |
|      |    TOWN            |
|      |    LAST_NAME       |
|      |    POSTCODE        |
|      |    TELEPHONE       |
+---------------------------+</pre><p>Таблицы <code>C_ORDERS</code> и <code>CUSTOMER</code> связаны по полю <code>ID_CUSTOMER</code>.</p><p>Дана таблица округов <strong>COUNTY</strong>:</p>
<pre>+---------------------------+
|           COUNTY          |
+---------------------------+
|  PK  |    COUNTY_CODE     |
+---------------------------+
|      |    NAME            |
+---------------------------+</pre><p>Таблицы <code>CUSTOMER</code> и <code>COUNTY</code> связаны по полю <code>COUNTY_CODE</code>.</p><p>Написать SELECT-запрос для уменьшения цены на 20% для тех продуктов в таблице <code>STORE</code>, которые содержат пометку <code>note = DISCOUNT</code>. Вывести необходимо все строки из таблицы <code>STORE</code> + столбец <code>price_with_discount</code> c рассчитанной ценой. </p><p><strong>Примечание:</strong> Если пометки нет, то необходимо оставить исходную цену. </p>
<p><strong>Важно:</strong> Обратите внимание, что Вам нужно написать именно SELECT-запрос, а не UPDATE, т.е. содержимое таблицы в БД менять не нужно. </p>","<p>Это классическая задача на использование условного оператора <code>CASE</code>. </p><p>Нам необходимо создать расчетный столбец, который будет формироваться по следующим правилам: </p><ul><li>Если есть пометка <code>DISCOUNT</code>, то снижаем цену на 20% (то есть умножаем исходную на 0.8)</li><li>Если пометки нет, оставляем старую цену</li></ul><p>Чтобы дать столбцу с <code>CASE</code> нужное нам имя, после закрывающего оператора <code>END</code> необходимо указать алиас: <code>AS our_name</code>.</p><p>С помощью оператора <code>CASE</code> решение можно записать следующим образом:</p><pre>SELECT *,
  CASE
    WHEN note = &#39;DISCOUNT&#39; THEN unit_price*0.8
    ELSE unit_price
  END AS price_with_discount
FROM store</pre>",20,92.0,172,0,890.0,,True,False,
